rank,company,revenue ($ millions),profit ($ millions)
1,Walmart,572754,13673
2,Amazon,469822,33364
3,Apple,365817,94680
4,CVS Health,292111,7910
5,UnitedHealth Group,287597,17285
6,Exxon Mobil,285640,23040
7,Berkshire Hathaway,276094,89795
8,Alphabet,257637,76033
9,McKesson,238228,-4539
10,AmerisourceBergen,213989,1540
11,Costco Wholesale,195929,5007
12,Cigna,174078,5365
13,AT&T,168864,20081
14,Microsoft,168088,61271
15,Cardinal Health,162467,611
16,Chevron,162465,15625
17,Home Depot,151157,16433
18,Walgreens Boots Alliance,148579,2542
19,Marathon Petroleum,141032,9738
20,Elevance Health,138639,6104
21,Kroger,137888,1655
22,Ford Motor,136341,17937
23,Verizon Communications,133613,22065
24,JPMorgan Chase,127202,48334
25,General Motors,127004,10019
26,Centene,125982,1347
27,Meta Platforms,117929,39370
28,Comcast,116385,14159
29,Phillips 66,114852,1317
30,Valero Energy,108332,930
31,Dell Technologies,106995,5563
32,Target,106005,6946
33,Fannie Mae,101543,22176
34,UPS,97287,12890
35,Lowe's,96250,8442
36,Bank of America,93851,31978
37,Johnson & Johnson,93775,20878
38,Archer Daniels Midland,85249,2709
39,FedEx,83959,5231
40,Humana,83064,2933
41,Wells Fargo,82407,21548
42,State Farm Insurance,82225,1281
43,Pfizer,81288,21979
44,Citigroup,79865,21952
45,PepsiCo,79474,7618
46,Intel,79024,19868
47,Procter & Gamble,76118,14306
48,General Electric,74196,-6520
49,IBM,72344,5743
50,MetLife,71080,6554
51,Prudential Financial,70934,7724
52,Albertsons,69690,850
53,Walt Disney,67418,1995
54,Energy Transfer,67417,5470
55,Lockheed Martin,67044,6315
56,Freddie Mac,65898,12109
57,Goldman Sachs Group,64989,21635
58,Raytheon Technologies,64388,3864
59,HP,63487,6503
60,Boeing,62286,-4202
61,Morgan Stanley,61121,15034
62,HCA Healthcare,58752,6956
63,AbbVie,56197,11542
64,Dow,54968,6311
65,Tesla,53823,5519
66,Allstate,53228,1599
67,AIG,52057,9388
68,Best Buy,51761,2454
69,Charter Communications,51682,4654
70,Sysco,51298,524
71,Merck,51216,13049
72,New York Life Insurance,51199,277
73,Caterpillar,50971,6489
74,Cisco Systems,49818,10591
75,TJX,48550,3283
76,Publix Super Markets,48394,4412
77,ConocoPhillips,48349,8079
78,Liberty Mutual Insurance Group,48200,3068
79,Progressive,47702,3351
80,Nationwide,47376,1617
81,Tyson Foods,47049,3047
82,Bristol-Myers Squibb,46385,6994
83,Nike,44538,5727
84,Deere,44024,5963
85,American Express,43663,8060
86,Abbott Laboratories,43075,7071
87,StoneX Group,42534,116
88,Plains GP Holdings,42078,60
89,Enterprise Products Partners,40807,4638
90,TIAA,40526,4061
91,Oracle,40479,13746
92,Thermo Fisher Scientific,39211,7725
93,Coca-Cola,38655,9771
94,General Dynamics,38469,3257
95,CHS,38448,554
96,USAA,37470,3300
97,Northwestern Mutual,36751,978
98,Nucor,36484,6828
99,Exelon,36347,1706
100,Massachusetts Mutual Life Insurance,35900,319
101,Northrop Grumman,35667,7005
102,3M,35355,5921
103,Travelers,34816,3662
104,Arrow Electronics,34477,1108
105,Honeywell International,34392,5542
106,Dollar General,34220,2399
107,Qualcomm,33566,9043
108,Capital One Financial,32033,12390
109,TD Synnex,31614,395
