1,Walmart,611289,11680
2,Amazon,513983,-2722
3,Exxon Mobil,413680,55740
4,Apple,394328,99803
5,UnitedHealth Group,324162,20120
6,CVS Health,322467,4149
7,Berkshire Hathaway,302089,-22819
8,Alphabet,282836,59972
9,McKesson,263966,1114
10,Chevron,246252,35465
11,AmerisourceBergen,238587,1699
12,Costco Wholesale,226954,5844
13,Microsoft,198270,72738
14,Cardinal Health,181364,-933
15,Cigna,180516,6668
16,Marathon Petroleum,180012,14516
17,Phillips 66,175702,11024
18,Valero Energy,171189,11528
19,Ford Motor,158057,-1981
20,Home Depot,157403,17105
21,General Motors,156735,9934
22,Elevance Health,156595,6025
23,JPMorgan Chase,154792,37676
24,Kroger,148258,2244
25,Centene,144547,1202
26,Verizon Communications,136835,21256
27,Walgreens Boots Alliance,132703,4337
28,Fannie Mae,121596,12923
29,Comcast,121427,5370
30,AT&T,120741,-8524
31,Meta Platforms,116609,23200
32,Bank of America,115053,27528
33,Target,109120,2780
34,Dell Technologies,102301,2442
35,Archer Daniels Midland,101556,4340
36,Citigroup,101078,14845
37,UPS,100338,11548
38,Pfizer,100330,31372
39,Lowe's,97059,6437
40,Johnson & Johnson,94943,17941
41,FedEx,93512,3826
42,Humana,92870,2806
43,Energy Transfer,89876,4756
44,State Farm Insurance,89328,-6654
45,Freddie Mac,86717,9327
46,PepsiCo,86392,8910
47,Wells Fargo,82859,13182
48,Walt Disney,82722,3145
49,ConocoPhillips,82156,18680
50,Tesla,81462,12556
51,Procter & Gamble,80187,14742
52,General Electric,76555,225
53,Albertsons,71887,1620
54,MetLife,69898,2539
55,Goldman Sachs Group,68711,11261
56,Sysco,68636,1359
57,Raytheon Technologies,67074,5197
58,Boeing,66608,-4935
59,StoneX Group,66036,207
60,Lockheed Martin,65984,5732
61,Morgan Stanley,65936,11029
62,Intel,63054,8014
63,HP,62983,3203
64,TD Synnex,62344,651
65,IBM,60530,1639
66,HCA Healthcare,60233,5643
67,Prudential Financial,60050,-1438
68,Caterpillar,59427,6705
69,Merck,59283,14519
70,World Kinect,59043,114
